stars,date,country,verified,corpus,rating_category,year
5,2024-02-17,United States,False,verified flown ba five time western usa england always decent service never problem website impossible navigate terrible take endless repeating circle loop never lead resolution lost suitcase spent hour upon arrival lisbon trying navigate website frustrating fruitless three day trip still waiting clothing toiletry electronics talk real person impossible even quit thinking spent secure seat economy turned extra legroom paid extra nothing done ba whoop quite still get home,okay,2024
3,2024-02-17,United Kingdom,True,london heathrow istanbul start half term school holiday flight busy indeed boarding quite well managed neatly presented pleasant gate agent one went way assist elderly passenger mobility issue felt singled member ba crew insisted small bag taken checked passenger large bag stopped taking onto flight flight felt staff member unprofessional towards aisle seat spoke length couple sitting next country origin may well invisible member cabin crew disappeared returned selection drink snack business class compatriot managed spill liquid even acknowledge clean ife even route map follow journey rather clinical flight exceptionally basic received small bottle water two broken digestive biscuit wifi work ridiculous skyshop accessible either asked coffee cabin crew member kissed teeth low ba fallen also noted tension member cabin crew colleague good enough disembarkation remarkably orderly civilized captain made effort engage passenger flight sensible update,bad,2024
3,2024-02-16,United States,False,verified jan th booked last minute transatlantic flight ireland attend funeral close friend mine nature trip bad enough vacation transatlantic leg flight ba airline terrible experience baby cry right next good portion flight ba fault continue set stage mid flight close bathroom middle plane seat j right behind one bathroom started leaking sewage passenger compartment could see water coming toward soon foot imagine smell great made bad trip worse got new pair boot contacted ba explained great detail happened response essentially sorry contacted verify formal response responded offering euro voucher use future ba flight little value contacted giving another chance make right nothing fault screaming baby fault restroom overflowed created disgusting mess soiled boot fault made effort make right inconvenience health safety issue far tell one got sewage foot think completely unacceptable everything avoid flying ba future,bad,2024
2,2024-02-11,United States,True,british airway gold guest list member lifetime privilege spite given britsh wherever possible take ten trans ocean trip year fortunate able fly first class unfortunately british longer first class product sell one name first class price fairness deliver would consider good business class experience point airline sell business class fact better british first class experience qatar emirate flown many million mile british last week completed around world trip emirate qantas million ba mile never experience good experience ek qantas long time ago food beverage service ba truly extraordinary today would bit stretch even call ordinary sad decline seat comfort first lounge food beverage need serious rework first class traveler british option sad truly sad,bad,2024
5,2024-02-08,United Kingdom,False,verified another case reviewing british airway flight actually provided booked several month ago london casablanca via madrid madrid casablanca leg iberia returning marrakech direct ba first marrakech flight cancelled rebook royal air maroc ba changed london madrid leg operated iberia instead booking ba com leg operated ba none ba flight transfer paid seat selection london madrid got arrange refund payment point airline offering service taking money service decide later cannot bothered provide paid good faith giving cannot mark zero reflect zero service received,okay,2024
1,2024-02-06,Nigeria,True,memorable day january th family embarked journey london heathrow terminal destined glasgow little anticipate series event would unfold shaping travel experience tale exceptional service unwavering dedication navigated bustling corridor airport journey encountered unexpected hurdle juncture found grappling booking complication compounded banking delay amid quandary sought assistance british airway personnel terminal hoping salvage travel plan enter mr sathies beacon hope amidst chaos demeanour exuding empathy professionalism mr sathies swiftly assessed situation hand despite setback wasted time springing action exploring every avenue mitigate impact unforeseen challenge faced sequence event unfolded remarkable clarity mr sathies tirelessly liaised various stakeholder including senior colleague managerial counterpart mr gurvir singh dhillon collaborative effort culminated solution exceeded expectation mr sathies unwavering dedication mr gurvir singh dhillon steadfast support travel arrangement salvaged without incurring additional cost despite initial uncertainty family able proceed journey embarking flight glasgow renewed sense gratitude appreciation exceptional service rendered british airway reflect upon precise sequence event transpired fateful day filled profound gratitude towards mr sathies mr gurvir singh dhillon entire british airway team meticulous attention detail unwavering commitment customer satisfaction reaffirmed faith british airway paragon excellence within aviation industry,bad,2024
8,2024-02-05,United Kingdom,False,verified actually get fly ba cancelled flight day notice refused offer acceptable alternative resulting people losing holiday river cruise since appears standard protocol ignored every communication regarding obligation compensation option pursue via official channel,good,2024
1,2024-02-02,United Kingdom,True,possibly worse check experience ever ever took nearly minute phone call numerous staff check u redemption flight account utterly bizarre situation procedure done without hitch last year onboard disappointed old style club world seat meaning stepping fellow passenger use toilet earth still use feel dated saving grace quite often case fabulous cabin crew amazing fed back ba direct sing praise finger crossed return leg,bad,2024
6,2024-01-30,Japan,True,flew lhr ath club europe ba dec transfer jal flight back tokyo first great expectation service would enjoy board partly flight time le hour seat configuration club europe typical european business class middle seat empty afterward board remembering took route ba year ago got feel relaxed unobtrusive courteous service asked champagne refill couple time benign smile would come,okay,2024
9,2024-01-29,United Kingdom,True,like british airway world traveller plus product seat comfy food good crew flight attentive friendly especially csm came round introduced u made sure comfortable bar closed half way flight cancun uplift alcoholic drink cancun juice water tea coffee available full flight criticism british airway premium economy feel like actively try split family unless pay pre book seat majority drink served plastic glass inflight snack available hour flight upgraded version economy airline like qantas singapore airline business minus still worth extra though,good,2024
